FEN,best_move
2r1rbk1/8/2P1R1p1/3pB3/p5p1/4R3/1Pb2PB1/6K1 b - - 0 1
r2Q2k1/6pp/5p2/8/5B2/6P1/p1n4P/2R4K b - - 0 1
1r2k2r/3b1ppp/8/1pp1P3/1P2q3/1n2Q3/3B1PPP/R4RK1 w k - 0 1
6k1/5ppp/4p3/p2rP3/Pp2N3/1P1RbN1P/6P1/4K3 b - - 0 1
Rn2k3/8/4K3/8/8/8/8/8 w - - 0 1
3n1rk1/2p1Qp2/1p1p3p/3P3q/1PP3R1/r3P3/8/1B3RK1 b - - 0 1
8/2r2k2/4p1p1/4b2p/8/4B2P/2R2PK1/8 b - - 0 1
r1b1k3/pp1p3p/5rp1/3N4/4p3/8/P1PbBPPP/R3K2R w KQq - 0 1
8/5pkp/6p1/8/R5P1/2PK3P/r4P2/8 b - - 0 1
r7/1b1pq2k/p3pp1p/3n4/2PNN2Q/3P4/1P3PrP/R4RK1 w - - 0 1
8/1bkRr1p1/4P2p/pp3B2/2p2P2/2K5/P6P/8 b - - 0 1
r2r4/1q3pkp/p3p1p1/2pPPb2/2P2P2/8/PQ2B1PP/4K2R w K - 0 1
8/8/2kn1nR1/2p5/6p1/6P1/3K1P1P/8 w - - 0 1
rnb1k2r/pp2pp2/2pp3p/8/3bP3/2NBB3/PPP3PP/1R2K2R w Kkq - 0 1
2rr2k1/1p2bp1p/p3p1p1/3bB3/3P1P2/P6R/BP2Q1qP/4R1K1 w - - 0 1
rr4k1/3n1p2/2p3p1/p1PppP2/P5np/1PQ1P3/3q2PP/4RRKN w - - 0 1
6k1/8/1n3bPP/B7/P1K5/2p5/8/8 w - - 0 1
1k1r4/pp2b1Np/8/4Pp2/5P2/P4B2/1r4PP/1R5K w - - 0 1
3r1k2/5p2/3r3p/p5p1/n1PR4/Pp3PP1/1P1RP2P/5K2 w - - 0 1
8/4k3/pn2p3/1pp1P2p/3n1P2/1P3BP1/P2K4/3N4 b - - 0 1
